,delivery_id,id_source,delivery_cost_sds,radius,delivery_options,promo,delivery,take_away,dine_in
9960,delv_9960,4-C2T2GPNGE6XJAX,11.1,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9961,delv_9961,4-CYLJWGEAEZDYMA,4.6,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9962,delv_9962,4-CZDCEYUJCNLGR6,12.0,9999,ONLY_DELIVERY,No Promotion available,True,False,False
9963,delv_9963,4-CZD3RJMYCKCXJ2,12.0,9999,ONLY_DELIVERY,No Promotion available,True,False,False
9964,delv_9964,4-CZD1VYECRU2KMA,4.9,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9965,delv_9965,4-CYMJLB23HE3KNX,13.7,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9966,delv_9966,4-CZLJBF4FC2B2V2,10.3,9999,ONLY_DELIVERY,"Enjoy 20% off min. spend $25 with promo code ""GROCERIES""!",True,False,False
9967,delv_9967,4-C2MVLPVJLYACJT,13.5,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9968,delv_9968,4-CYMWFCAFHF4DEJ,4.4,2500,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9969,delv_9969,SGDD10028,4.9,25000,DELIVERY_TAKEAWAY,$3 OFF Del Fee!,True,True,False
9970,delv_9970,4-C2TGEEN1EJACA6,3.3,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9971,delv_9971,4-CZDBR76EAGMYRA,5.5,9999,ONLY_DELIVERY,"Enjoy 20% off min. spend $25 with promo code ""GROCERIES""!",True,False,False
9972,delv_9972,4-C2MZV2NWJ2EJVA,,10000,ONLY_DELIVERY,"Enjoy 20% off min. spend $25 with promo code ""GROCERIES""!",True,False,False
9973,delv_9973,4-C2UELRBFLTTYJJ,10.7,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9974,delv_9974,4-CY23CJMVCVNHN6,12.6,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9975,delv_9975,4-C2UEHECHRZMBCX,4.8,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9976,delv_9976,4-CYLTMAUZUCN3HA,15.9,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9977,delv_9977,SGDD05205,9.8,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9978,delv_9978,4-CY51PFWEEGC1AA,4.8,2500,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9979,delv_9979,4-C2LHLNVUJPLCTA,12.7,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9980,delv_9980,4-CZDXPA4BDFBXAN,9.8,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9981,delv_9981,4-C2M2RCLDRTDFNX,5.0,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9982,delv_9982,4-CZDWNPUTV74HJA,3.3,2500,DELIVERY_TAKEAWAY,$0 Delivery Fee (min. $35 spend)!,True,True,False
9983,delv_9983,SGDD07789,14.6,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9984,delv_9984,SGDD08736,4.8,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9985,delv_9985,SGDD08366,5.5,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9986,delv_9986,4-C2JEE2K1JTTEJA,4.5,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9987,delv_9987,SGDD02441,5.0,2500,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,False,False
9988,delv_9988,SGDD05211,11.5,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
